stop_id,stop_name,line_id,mode,seq,osm_id,source,district,latitude,longitude
T1_01,Sidi Moumen - Terminus,T1,tramway,0,node/2235605807,http://www.casatramway.ma/,Sidi Moumen,33.586942,-7.501496
T1_02,Ennassim,T1,tramway,1,node/2235605654,http://www.casatramway.ma/,Aïn Harrouda,33.584866,-7.504731
T1_03,Mohamed Zefzaf,T1,tramway,2,node/2235605622,http://www.casatramway.ma/,Roches Noires,33.582363,-7.508678
T1_04,Centre de Maintenance,T1,tramway,3,node/2235605682,http://www.casatramway.ma/,Aïn Sebaâ,33.579532,-7.513126
T1_05,Hôpital Sidi Moumen,T1,tramway,4,node/2235605643,http://www.casatramway.ma/,Hay Mohammadi,33.576584,-7.517745
T1_06,Attacharouk,T1,tramway,5,node/2235605690,http://www.casatramway.ma/,Al Fida,33.574056,-7.52431
T1_07,Ôkba Ibn Nafiî,T1,tramway,6,node/2238332342,http://www.casatramway.ma/,Oasis,33.572911,-7.532559
T1_08,Forces Auxiliaires,T1,tramway,7,node/2235605803,http://www.casatramway.ma/,Mers Sultan,33.574729,-7.539451
T1_09,Hay Raja,T1,tramway,8,node/2235605454,http://www.casatramway.ma/,Mers Sultan,33.576682,-7.548467
T1_10,Ibn Tachfine,T1,tramway,9,node/2238332258,http://www.casatramway.ma/,Mers Sultan,33.580794,-7.563419
T1_11,Hay Mohammadi,T1,tramway,10,node/2235605663,http://www.casatramway.ma/,Médina,33.585634,-7.566729
T1_12,Achouhada,T1,tramway,11,node/2238332082,http://www.casatramway.ma/,Médina,33.588496,-7.56777
T1_13,Ali Yaata,T1,tramway,12,node/2235605394,http://www.casatramway.ma/,Centre-ville,33.591473,-7.569957
T1_14,Grande Ceinture,T1,tramway,13,node/2235605719,http://www.casatramway.ma/,Centre-ville,33.590407,-7.573765
T1_15,Les Anciens Abattoirs,T1,tramway,14,node/2235605431,http://www.casatramway.ma/,Centre-ville,33.590991,-7.578581
T1_16,Bahmad,T1,tramway,15,node/2235605385,http://www.casatramway.ma/,Centre-ville,33.594764,-7.586443
T1_17,Casa Voyageurs,T1,tramway,16,node/2235605694,http://www.casatramway.ma/,Centre-ville,33.590358,-7.591948
T1_18,Place Al Yassir,T1,tramway,17,node/2238332192,http://www.casatramway.ma/,Médina,33.592909,-7.59695
T1_19,La Résistance,T1,tramway,18,node/2235605416,http://www.casatramway.ma/,Maârif,33.593449,-7.603162
T1_20,Mohamed Diouri,T1,tramway,19,node/2238332263,http://www.casatramway.ma/,Maârif,33.593722,-7.607775
T1_21,Marché Central,T1,tramway,20,node/2235605616,http://www.casatramway.ma/,Maârif,33.5946,-7.612611
T1_22,Place des Nations Unies,T1,tramway,21,node/2235605755,http://www.casatramway.ma/,Maârif,33.595121,-7.618117
T1_23,Place Mohammed V,T1,tramway,22,node/2238405601,http://www.casatramway.ma/,Anfa,33.589638,-7.620009
T1_24,Avenue Hassan II,T1,tramway,23,node/2235605651,http://www.casatramway.ma/,Aïn Diab,33.584116,-7.623041
T1_25,Les Hôpitaux,T1,tramway,24,node/2238447184,http://www.casatramway.ma/,Lissasfa,33.580016,-7.624839
T1_26,Faculté de Médecine,T1,tramway,25,node/2235605472,http://www.casatramway.ma/,Lissasfa,33.574927,-7.625824
T1_27,Abdelmoumen,T1,tramway,26,node/2235605753,http://www.casatramway.ma/,Casablanca,33.570553,-7.625982
T1_28,Bachkou,T1,tramway,27,node/2235605408,http://www.casatramway.ma/,Casablanca,33.565237,-7.626854
T1_29,Mekka,T1,tramway,28,node/2235605474,http://www.casatramway.ma/,Casablanca,33.557824,-7.629831
T1_30,Gare Oasis,T1,tramway,29,node/2235605426,http://www.casatramway.ma/,Casablanca,33.554127,-7.631312
T1_31,Panoramique,T1,tramway,30,node/2235605765,http://www.casatramway.ma/,Casablanca,33.547167,-7.631885
T1_32,Zénith,T1,tramway,31,node/2235605401,http://www.casatramway.ma/,Casablanca,33.540737,-7.642815
T1_33,Gare Casa Sud,T1,tramway,32,node/2238568797,http://www.casatramway.ma/,Casablanca,33.541977,-7.650645
T1_34,Facultés,T1,tramway,33,node/2235605392,http://www.casatramway.ma/,Casablanca,33.545812,-7.657178
T1_35,Laymoune,T1,tramway,34,node/6128450133,http://www.casatramway.ma/,Casablanca,33.540095,-7.66636
T1_36,Lissasfa - Terminus,T1,tramway,35,node/6128450134,http://www.casatramway.ma/,Casablanca,33.535051,-7.670077
T2_01,Ain Diab Plage - Terminus,T2,tramway,0,node/2235605828,http://www.casatramway.ma/,Sidi Bernoussi,33.587432,-7.680807
T2_02,Littoral,T2,tramway,1,node/2235605581,http://www.casatramway.ma/,Ouled Ziane,33.580943,-7.6748
T2_03,Hay Hassani,T2,tramway,2,node/2235605660,http://www.casatramway.ma/,Bernoussi,33.576567,-7.672926
T2_04,Sidi Abderrahmane,T2,tramway,3,node/2235605418,http://www.casatramway.ma/,Hay Hassani,33.571956,-7.669382
T2_05,Cité de L'air,T2,tramway,4,node/2235605477,http://www.casatramway.ma/,Hay Hassani,33.568223,-7.664184
T2_06,Abdellah Ben Cherif,T2,tramway,5,node/3484336100,http://www.casatramway.ma/,Centre-ville,33.565883,-7.660293
T2_07,Place Financière,T2,tramway,6,node/3484336128,http://www.casatramway.ma/,Centre-ville,33.562315,-7.660917
T2_08,Anfa Park,T2,tramway,7,node/3484336159,http://www.casatramway.ma/,Médina,33.559766,-7.657472
T2_09,Anfa Club,T2,tramway,8,node/3484336121,http://www.casatramway.ma/,Médina,33.561279,-7.653002
T2_10,Beauséjour,T2,tramway,9,node/2238613690,http://www.casatramway.ma/,Aïn Diab,33.564339,-7.64792
T2_11,Ghandi,T2,tramway,10,node/2235605781,http://www.casatramway.ma/,Aïn Diab,33.568775,-7.644603
T2_12,Riviera,T2,tramway,11,node/2238635740,http://www.casatramway.ma/,Casablanca,33.570944,-7.636355
T2_13,Derb Ghalef,T2,tramway,12,node/4244309716,http://www.casatramway.ma/,Casablanca,33.570037,-7.63167
T2_14,Anoual,T2,tramway,13,node/5599986587,http://www.casatramway.ma/,Casablanca,33.569421,-7.624931
T2_15,Hermitage,T2,tramway,14,node/5599986588,http://www.casatramway.ma/,Casablanca,33.569196,-7.617907
T2_16,2 Mars,T2,tramway,15,node/4360005391,http://www.casatramway.ma/,Casablanca,33.569098,-7.612706
T2_17,El Fida,T2,tramway,16,node/5599986590,http://www.casatramway.ma/,Casablanca,33.566494,-7.607259
T2_18,Place Sraghna,T2,tramway,17,node/5599986591,http://www.casatramway.ma/,Casablanca,33.569612,-7.602143
T2_19,Derb Sultan,T2,tramway,18,node/5599986592,http://www.casatramway.ma/,Casablanca,33.572125,-7.595833
T2_20,Hay El Farah,T2,tramway,19,node/5599986593,http://www.casatramway.ma/,Casablanca,33.57166,-7.586345
T2_21,Derb Milan,T2,tramway,20,node/5327872136,http://www.casatramway.ma/,Casablanca,33.571966,-7.580742
T2_22,Cimetière Achouhada,T2,tramway,21,node/5599986595,http://www.casatramway.ma/,Casablanca,33.576575,-7.574412
